prefix,next_char,count,prob
^^c,r,256,0.04650317892824705
^^c,s,1,1.8165304268846503e-4
^^c,u,177,0.032152588555858314
^^c,y,1,1.8165304268846503e-4
^^d,',8,0.015810276679841896
^^d,a,80,0.15810276679841898
^^d,e,95,0.18774703557312253
^^d,h,1,0.001976284584980237
^^d,i,67,0.1324110671936759
^^d,o,155,0.30632411067193677
^^d,r,48,0.09486166007905138
^^d,s,1,0.001976284584980237
^^d,u,50,0.09881422924901186
^^d,z,1,0.001976284584980237
^^e,a,2,0.008547008547008548
^^e,b,5,0.021367521367521368
^^e,c,8,0.03418803418803419
^^e,d,9,0.038461538461538464
^^e,g,9,0.038461538461538464
^^e,i,9,0.038461538461538464
^^e,l,25,0.10683760683760683
^^e,m,12,0.05128205128205128
^^e,n,33,0.14102564102564102
^^e,o,1,0.004273504273504274
^^e,p,7,0.029914529914529916
^^e,r,46,0.19658119658119658
^^e,s,30,0.1282051282051282
^^e,t,8,0.03418803418803419
^^e,u,18,0.07692307692307693
^^e,v,4,0.017094017094017096
^^e,x,6,0.02564102564102564
^^e,y,1,0.004273504273504274
^^e,z,1,0.004273504273504274
^^f,a,296,0.19693945442448438
^^f,b,1,6.653359946773121e-4
^^f,e,191,0.1270791749833666
^^f,i,226,0.15036593479707253
^^f,l,54,0.03592814371257485
^^f,n,2,0.0013306719893546241
^^f,o,406,0.27012641383898867
^^f,r,247,0.1643379906852961
^^f,u,80,0.05322687957418496
^^g,a,496,0.2872032426172554
^^g,b,1,5.790387955993051e-4
^^g,e,142,0.08222350897510133
^^g,f,1,5.790387955993051e-4
^^g,h,74,0.042848870874348584
^^g,i,300,0.17371163867979156
^^g,l,21,0.012159814707585408
^^g,n,10,0.005790387955993051
^^g,o,159,0.09206716850028952
^^g,r,363,0.21019108280254778
^^g,s,1,5.790387955993051e-4
^^g,u,159,0.09206716850028952
^^h,a,12,0.15584415584415584
^^h,e,19,0.24675324675324675
^^h,h,2,0.025974025974025976
^^h,i,10,0.12987012987012986
^^h,n,1,0.012987012987012988
^^h,o,28,0.36363636363636365
^^h,r,2,0.025974025974025976
^^h,u,3,0.03896103896103896
^^i,',1,0.0033444816053511705
^^i,a,20,0.06688963210702341
^^i,b,2,0.006688963210702341
^^i,c,3,0.010033444816053512
^^i,d,7,0.023411371237458192
^^i,e,15,0.05016722408026756
^^i,g,8,0.026755852842809364
^^i,l,15,0.05016722408026756
^^i,m,25,0.08361204013377926
^^i,n,83,0.27759197324414714
^^i,o,10,0.033444816053511704
^^i,p,7,0.023411371237458192
^^i,r,9,0.030100334448160536
^^i,s,69,0.23076923076923078
^^i,t,12,0.04013377926421405
^^i,u,5,0.016722408026755852
^^i,v,4,0.013377926421404682
^^i,z,4,0.013377926421404682
^^j,a,13,0.2653061224489796
^^j,e,11,0.22448979591836735
^^j,g,2,0.04081632653061224
^^j,o,17,0.3469387755102041
^^j,u,6,0.12244897959183673
^^k,a,26,0.29213483146067415
^^k,e,12,0.1348314606741573
^^k,h,3,0.033707865168539325
^^k,i,5,0.056179775280898875
^^k,l,8,0.0898876404494382
^^k,m,1,0.011235955056179775
^^k,n,7,0.07865168539325842
^^k,o,10,0.11235955056179775
^^k,r,14,0.15730337078651685
^^k,u,2,0.02247191011235955
^^k,y,1,0.011235955056179775
^^l,',44,0.035398230088495575
^^l,a,379,0.3049074818986323
^^l,e,181,0.14561544650040226
^^l,h,1,8.045052292839903e-4
^^l,i,195,0.1568785197103781
^^l,l,1,8.045052292839903e-4
^^l,o,221,0.17779565567176187
^^l,p,4,0.003218020917135961
^^l,u,215,0.17296862429605792
^^l,y,2,0.0016090104585679806
^^m,a,1275,0.39351851851851855
^^m,e,363,0.11203703703703703
^^m,h,4,0.0012345679012345679
^^m,i,245,0.07561728395061729
^^m,l,1,3.0864197530864197e-4
^^m,o,1144,0.3530864197530864
^^m,p,1,3.0864197530864197e-4
^^m,r,2,6.172839506172839e-4
^^m,s,4,0.0012345679012345679
^^m,u,200,0.06172839506172839
^^m,y,1,3.0864197530864197e-4
^^n,a,101,0.2210065645514223
^^n,e,77,0.16849015317286653
^^n,i,71,0.15536105032822758
^^n,o,163,0.35667396061269147
^^n,u,44,0.0962800875273523
^^n,y,1,0.002188183807439825
^^o,a,2,0.0035335689045936395
^^o,b,19,0.03356890459363958
^^o,c,27,0.04770318021201413
^^o,d,10,0.0176678445229682
^^o,f,7,0.012367491166077738
^^o,g,18,0.03180212014134275
^^o,i,5,0.0088339222614841
^^o,k,1,0.0017667844522968198
^^o,l,98,0.17314487632508835
^^o,m,14,0.024734982332155476
^^o,n,38,0.06713780918727916
^^o,p,14,0.024734982332155476
^^o,r,182,0.3215547703180212
^^o,s,82,0.14487632508833923
^^o,t,19,0.03356890459363958
^^o,u,4,0.007067137809187279
^^o,v,18,0.03180212014134275
^^o,x,1,0.0017667844522968198
^^o,y,1,0.0017667844522968198
^^o,z,6,0.01060070671378092
^^p,a,795,0.23479031305375073
^^p,d,1,2.9533372711163615e-4
^^p,e,546,0.16125221500295334
^^p,f,12,0.0035440047253396337
^^p,i,730,0.21559362079149438
^^p,l,71,0.020968694624926166
^^p,o,636,0.1878322504430006
^^p,p,2,5.906674542232723e-4
^^p,r,487,0.1438275251033668
^^p,s,1,2.9533372711163615e-4
^^p,u,105,0.031010041346721796
^^q,u,143,1
^^r,a,246,0.1553030303030303
^^r,b,1,6.313131313131314e-4
^^r,c,1,6.313131313131314e-4
^^r,d,1,6.313131313131314e-4
^^r,e,239,0.15088383838383837
^^r,h,3,0.001893939393939394
^^r,i,321,0.20265151515151514
^^r,o,626,0.3952020202020202
^^r,t,1,6.313131313131314e-4
^^r,u,145,0.09154040404040405
^^s,',33,0.011991279069767442
^^s,a,731,0.265625
^^s,b,7,0.002543604651162791
^^s,c,388,0.14098837209302326
^^s,d,3,0.0010901162790697674
^^s,e,427,0.15515988372093023
^^s,f,13,0.004723837209302325
^^s,g,11,0.003997093023255814
^^s,h,3,0.0010901162790697674
^^s,i,187,0.06795058139534883
